2584U,White,Trailer,GREENMECH,2001,Trailer,2011-12-15,Counties/Manukau
25QMW,Blue,Homebuilt,MISC,1987,Trailer,2011-10-11,Canterbury
25WYJ,Orange,Buell,LIGHTNING,2005,Roadbike,2011-10-11,Bay of Plenty
2681S,Silver,Trailer,BRIFORD,2000,Trailer,2011-12-19,Canterbury
26YCR,Black,Yamaha,CV50AV,2006,Moped,2011-08-04,Wellington
26YUJ,Red,Moped,FACTORYBUILT ARROW,2007,Moped,2011-09-15,Auckland City
26ZUU,Blue,Moped,ARROW 50 RETRO,2009,Moped,2011-07-06,Waitemata
2863Y,Blue,Trailer,HOMEBUILT,1980,Trailer,2011-11-08,Bay of Plenty
28YCE,Black,Suzuki,GSF,1990,Roadbike,2011-12-14,Wellington
28ZDY,Yellow,Suzuki,DR-Z250,2007,Roadbike,2011-07-22,Counties/Manukau
29NPN,Brown,Trailer,HOME MADE,1985,Trailer,2011-10-18,Bay of Plenty
29PSP,Green,Trailer,REID,1979,Trailer,2011-07-14,Southern
29WZC,Black,Suzuki,GN250,1985,Roadbike,2011-06-24,Wellington
29ZQW,Silver,Honda,GIORNO,2009,Moped,2011-12-05,Auckland City
30KRN,Grey,Trailer,LOCAL,1980,Boat Trailer,2011-11-22,Counties/Manukau
30UQP,Black,Suzuki,TS,2002,Moped,2011-12-15,Waikato
30WPW,Blue,Suzuki,A100,1983,Roadbike,2011-08-08,Canterbury
30WRC,Black,Suzuki,SEPIA,1992,Moped,2011-11-03,Wellington
3140R,Silver,Factory Built,BILLABONG,2000,Trailer,2011-07-14,Wellington
319AQ,Silver,Trailer,STABI 595,2002,Boat Trailer,2011-11-06,Wellington
31QDC,Grey,Homebuilt,KEA,1987,Trailer,2011-07-22,Northland
31ZGD,Red,Moped,VMOTO MONZA,2008,Moped,2011-10-07,Wellington
32UYG,White,Harley Davidson,SOFTAIL,2003,Roadbike,2011-09-12,Waitemata
33WZA,Blue,Moped,FAT BOY,2005,Moped,2011-11-28,Waitemata
33YDA,Black,Honda,DIO,1996,Moped,2011-10-22,Wellington
33ZGF,Red,Suzuki,GZ250,2002,Roadbike,2011-10-09,Northland
34KD,White,Trailer,LOCAL,1958,Trailer,2011-09-13,Northland
34WAC,Red,Suzuki,SJ50,2003,Moped,2011-07-06,Wellington
34WMQ,Grey,Suzuki,GSX250,2004,Roadbike,2011-08-14,Auckland City
34ZGN,Black,Honda,CBR,2008,Roadbike,2011-08-23,Eastern
355AD,Grey,Trailer,PRESCOTT,2002,Trailer,2011-07-18,Waikato
35QPQ,Brown,Homebuilt,,1979,Trailer,2011-09-27,Eastern
35ZAQ,Green,John Deere,3520 TRACTOR BROOM,2007,Tractor,2011-09-13,Waikato
35ZFG,Blue,Yamaha,CV 50,2008,Moped,2011-11-07,Central
36TUP,White,PGO,PMX,1998,Moped,2011-08-23,Eastern
36YJZ,Blue,Yamaha,DT,2003,Roadbike,2011-09-28,Counties/Manukau
37UQY,Black,PGO,T REX,2002,Roadbike,2011-07-19,Canterbury
37URQ,Blue,Yamaha,TT250,2002,Roadbike,2011-08-05,Canterbury
37YCZ,Yellow,Factory Built,LIFAN,2005,Roadbike,2011-11-25,Canterbury
37ZDK,Yellow,Honda,TODAY 50,2007,Moped,2011-09-01,Waitemata
3851S,Silver,Trailer,TANDEM/KEA,2000,Trailer,2011-08-13,Waikato
38NPZ,Blue,Honda,CL250S,1985,Roadbike,2011-12-15,Counties/Manukau
38WFC,Blue,CMG,GT125,2003,Roadbike,2011-08-19,Waikato
38YHF,Silver,Yamaha,CV50AV,2006,Moped,2011-08-16,Auckland City
39WJM,Black,Yamaha,JAZZ,1988,Moped,2011-07-05,Wellington
39YHN,Yellow,Honda,NVS50,2006,Moped,2011-07-08,Waikato
39ZMC,Blue,Moped,HUONIAO,2008,Moped,2011-10-17,Waitemata
4051Y,Grey,Trailer,PRESCOTT,2001,Trailer,2011-10-17,Waikato
40LKM,Brown,Trailer,,1980,Trailer,2011-11-18,Waikato
40ZKS,Orange,Moped,ORION RETRO,2008,Moped,2011-08-07,Bay of Plenty
4176R,Silver,Trailer,LOCAL,2000,Trailer,2011-09-26,Central
41WCA,Blue,Suzuki,GSF1200S,2003,Roadbike,2011-06-26,Auckland City
41YTA,Blue,Factory Built,LIFAN,2007,Roadbike,2011-11-15,Canterbury
41ZDE,White,Suzuki,AZ50,2007,Moped,2011-09-28,Auckland City
41ZMA,Red,Aprilia,RSV1000,2004,Roadbike,2011-06-25,Canterbury
42WQN,Black,Factory Built,SYM DD50,2005,Moped,2011-11-28,Auckland City
4301Y,Grey,Trailer,HOMEBUILT,2001,Trailer,2011-10-26,Canterbury
4377I,Silver,Kea,K844X,1998,Trailer,2011-07-28,Waikato
43FOO,Red,Trailer,2 AXEL,1978,Trailer,2011-12-20,Canterbury
43TIN,Red,Kawasaki,BR250,1988,Roadbike,2011-10-23,Canterbury
43WDE,Green,Piaggio,VESPA,2003,Roadbike,2011-11-14,Auckland City
4442M,Green,Trailer,HOMEMADE,1985,Trailer,2011-11-08,Eastern
45PZI,Green,Homebuilt,MISC,1986,Trailer,2011-07-18,Waikato
45YLN,Black,Suzuki,AZ 50,2006,Moped,2011-09-10,Auckland City
45ZJQ,Black,Italjet,TORPEDO,2008,Roadbike,2011-09-17,Auckland City
46ZJC,White,Suzuki,DR-Z400,2008,Roadbike,2011-12-19,Waitemata
474K,Silver,Kea,K744T,1998,Trailer,2011-08-05,Waikato
47ZMD,White,Suzuki,AZ50UDK7,2008,Moped,2011-11-28,Auckland City
47ZTW,Blue,Factory Built,L45TCADKX81510111,2009,Moped,2011-11-21,Wellington
48SER,Red,Yamaha,SR250,1990,Roadbike,2011-11-28,Canterbury
48WWT,Silver,Moped,JINJIAN 50QT-11,2005,Moped,2011-07-19,Wellington
48YDB,Red,Moped,TGB ERGON,2006,Moped,2011-08-11,Bay of Plenty
48ZFJ,White,Suzuki,AZ 50,2008,Moped,2011-08-24,Auckland City
48ZJT,Blue,Kawasaki,ER,2008,Roadbike,2011-09-05,Auckland City
48ZRM,Yellow,Moped,50 STANDARD,2008,Moped,2011-09-30,Wellington
4TME,White,Honda,SY50MN,1990,Moped,2011-08-01,Auckland City
50WRY,Red,Suzuki,SJ50,2001,Moped,2011-06-24,Waikato
